comuna,entrada_electores,entrada_apruebo,entrada_rechazo,entrada_blancos,entrada_nulos,salida_electores,salida_apruebo,salida_rechazo,salida_blancos,salida_nulos,crec_apruebo,crec_rechazo,crec_nulos,crec_blancos,aumento_votantes,aumento_votantes_p,entrada_votos,entrada_abs,entrada_p_vot,salida_votos,salida_abs,salida_p_vot,crec_prob_voto,entrada_prob_apruebo,salida_prob_apruebo,entrada_prob_nulo,salida_prob_nulo,entrada_prob_blanco,salida_prob_blanco,entrada_prob_rechazo,salida_prob_rechazo,crec_prob_apruebo,crec_prob_rechazo,crec_prob_nulo,crec_prob_blanco,entrada_prob_votar,salida_prob_votar,crec_padron,crec_padron_porc
CAMIÑA,2113.0,242,163,2,10,2379.0,202,1432,6,15,-40,1269,5,4,266.0,1.1258873639375295,417,1696.0,0.19734973970657832,1655,724.0,0.6956704497688104,0.4983207100622321,0.11452910553715097,0.08490962589323245,0.00473260766682442,0.006305170239596469,0.000946521533364884,0.0025220680958385876,0.07714150496923805,0.6019335855401429,-0.02961947964391852,0.5247920805709048,0.001572562572772049,-0.0022105395709858325,0.19734973970657832,0.6956704497688103,266.0,12.588736393752958
CANELA,4868.0,1822,223,7,9,9317.0,3482,4113,89,113,1660,3890,104,82,4449.0,1.9139276910435497,2061,2807.0,0.4233771569433032,7797,1520.0,0.8368573575185145,0.41348020057521134,0.3742810188989318,0.3737254481056134,0.0018488085456039441,0.012128367500268326,0.001437962202136401,0.009552431040034346,0.04580936729663106,0.4414511108725985,-0.0005555707933183607,0.39564174357596743,0.010279558954664382,0.007703622494430401,0.42337715694330313,0.8368573575185145,4449.0,91.39276910435498
CARAHUE,23738.0,4852,2131,22,37,24480.0,4753,14560,160,271,-99,12429,234,138,742.0,1.0312578987277783,7042,16696.0,0.29665515207683885,19744,4736.0,0.8065359477124183,0.5098807956355795,0.20439801162692728,0.19415849673202615,0.0015586822815738478,0.011070261437908497,0.0009267840593141798,0.006535947712418301,0.08977167410902351,0.5947712418300654,-0.01023951489490113,0.5049995677210418,0.00951157915633465,0.004977265430844453,0.29665515207683885,0.8065359477124182,742.0,3.125789872777825
CARTAGENA,15548.0,6335,1457,9,18,19615.0,6924,9966,106,313,589,8509,295,97,4067.0,1.261577051710831,7819,7729.0,0.5028942629277078,17309,2306.0,0.8824369105276574,0.3795426475999496,0.40744790326730124,0.35299515676777976,0.0011577051710830975,0.015957175630894722,0.0005788525855415488,0.0054040275299515675,0.09370980190378184,0.5080805505990313,-0.054452746499521476,0.4143707486952495,0.014799470459811625,0.00424632235886847,0.5028942629277077,0.8824369105276575,4067.0,26.157705171083094
CASABLANCA,22139.0,9148,2292,16,52,23393.0,6814,13624,134,382,-2334,11332,330,118,1254.0,1.0566421247572158,11508,10631.0,0.5198066760016261,20954,2439.0,0.8957380412944043,0.37593136529277815,0.413207461944984,0.2912837173513444,0.002348796241926013,0.01632967126918309,0.0007227065359772348,0.005728209293378361,0.10352771127873887,0.5823964433804985,-0.12192374459363958,0.47886873210175956,0.013980875027257077,0.0033794130514523484,0.5198066760016261,0.8957380412944043,1254.0,5.664212475721577
CASTRO,40631.0,13664,2793,34,42,42116.0,12453,21064,278,545,-1211,18271,503,244,1485.0,1.0365484482291847,16533,24098.0,0.4069060569515887,34340,7776.0,0.8153670813942445,0.4084610244426558,0.336294947207797,0.2956833507455599,0.001033693485269868,0.012940450185202772,0.0008367994880756073,0.006600816791718112,0.06874061677044621,0.5001424636717637,-0.04061159646223711,0.43140184690131755,0.011906756699932904,0.005567123306448244,0.40690605695158877,0.8153670813942444,1485.0,3.654844822918461
CATEMU,12039.0,5199,711,9,46,12185.0,3595,7294,86,153,-1604,6583,107,77,146.0,1.0121272530941108,5965,6074.0,0.4954730459340477,11128,1057.0,0.9132540008206812,0.4177809548866335,0.4318464988786444,0.2950348789495281,0.003820915358418473,0.012556421830119,0.00074757039621231,0.007057858022158392,0.05905806130077249,0.5986048420188756,-0.13681161992911628,0.5395467807181031,0.008735506471700526,0.0032369426637399185,0.49547304593404773,0.9132540008206811,146.0,1.2127253094110806
CAUQUENES,36932.0,8113,4586,61,75,37399.0,5927,26604,179,397,-2186,22018,322,118,467.0,1.0126448608253005,12835,24097.0,0.34753059677244663,33107,4292.0,0.8852375731971444,0.5377069764246978,0.2196739954510993,0.1584801732666649,0.0020307592331853135,0.010615257092435626,0.001651684176324055,0.004786224230594401,0.12417415791183797,0.7113559186074494,-0.06119382218443442,0.5871817606956115,0.008584497859250313,0.002755464997409087,0.34753059677244663,0.8852375731971442,467.0,1.2644860825300552
CAÑETE,29343.0,7038,3405,30,50,29680.0,5615,19848,180,347,-1423,16443,297,150,337.0,1.011484851583001,10523,18820.0,0.35862045462290837,25990,3690.0,0.8756738544474394,0.517053399824531,0.23985277578979655,0.18918463611859837,0.001703983914391848,0.011691374663072776,0.0010223903486351088,0.006064690026954178,0.11604130457008485,0.668733153638814,-0.05066813967119818,0.5526918490687291,0.009987390748680929,0.00436070611256233,0.35862045462290837,0.8756738544474394,337.0,1.1484851583001057
CERRILLOS,67845.0,31192,5972,34,120,65350.0,25821,30327,337,840,-5371,24355,720,303,-2495.0,0.963224998157565,37318,30527.0,0.5500479033090132,57325,8025.0,0.8771996939556236,0.3271517906466104,0.45975385068907065,0.3951185921958684,0.0017687375635640063,0.012853863810252487,0.0005011423096764684,0.005156847742922724,0.08802417274670205,0.46407039020658,-0.06463525849320223,0.37604621745987793,0.011085126246688481,0.0033881101793587177,0.5500479033090132,0.8771996939556235,-2495.0,-3.6775001842434962
CERRO NAVIA,116544.0,55886,7818,119,260,110843.0,46196,49983,571,1584,-9690,42165,1324,452,-5701.0,0.9510828528281164,64083,52461.0,0.5498609967051071,98334,12509.0,0.8871466849507863,0.33728568824567917,0.479527045579352,0.41676966520213277,0.0022309170785282813,0.014290482935322934,0.0010210735859417903,0.005151430401558962,0.067081960461285,0.4509351064117716,-0.06275738037721923,0.3838531459504866,0.012059565856794652,0.0029205133230306803,0.5498609967051071,0.8871466849507863,-5701.0,-4.891714717188358
CHAITEN,3591.0,645,260,2,4,4899.0,859,2251,48,33,214,1991,29,46,1308.0,1.3642439431913116,911,2680.0,0.25368978000556947,3191,1708.0,0.6513574198816084,0.397667639876039,0.1796157059314954,0.17534190651153297,0.001113895850737956,0.006736068585425597,0.000556947925368978,0.009797917942437232,0.07240323029796714,0.4594815268422127,-0.004273799419962421,0.3870782965442456,0.005622172734687641,0.008684022091699276,0.25368978000556947,0.6513574198816086,1308.0,36.42439431913116
CHANCO,9250.0,1765,1095,18,21,9215.0,1605,6546,47,97,-160,5451,76,29,-35.0,0.9962162162162163,2899,6351.0,0.3134054054054054,8295,920.0,0.9001627780792186,0.5867573726738132,0.1908108108108108,0.1741725447639718,0.00227027027027027,0.010526315789473684,0.0019459459459459458,0.005100379815518177,0.11837837837837838,0.7103635377102551,-0.016638266046839018,0.5919851593318767,0.008256045519203413,0.0028301095452479066,0.3134054054054054,0.9001627780792187,-35.0,-0.3783783783783784
CHAÑARAL,11989.0,5185,544,14,17,11619.0,4477,4730,67,154,-708,4186,137,53,-370.0,0.9691383768454417,5760,6229.0,0.4804404037033948,9428,2191.0,0.81142955503916,0.33098915133576523,0.4324797731253649,0.38531715293915136,0.0014179664692634915,0.013254152680953611,0.00116773709233464,0.005766417075479818,0.045374927016431726,0.40709183234357516,-0.04716262018621353,0.3617169053271434,0.011836186211690119,0.0043484506062163265,0.4804404037033948,0.81142955503916,-370.0,-3.0861623154558346
CHEPICA,13593.0,3774,1119,5,17,13915.0,3024,9665,82,154,-750,8546,137,77,322.0,1.023688663282572,4915,8678.0,0.3615831678069595,12925,990.0,0.9288537549407114,0.567270587133752,0.27764290443610684,0.2173194394538268,0.0012506437136761569,0.011067193675889328,0.00036783638637534027,0.005892921307941071,0.08232178327080114,0.6945742005030543,-0.06032346498228003,0.6122524172322532,0.009816549962213171,0.0046422775942649135,0.3615831678069595,0.9288537549407115,322.0,2.3688663282571913
CHIGUAYANTE,66892.0,29875,8239,50,148,68393.0,23653,37090,365,1140,-6222,28851,992,315,1501.0,1.0224391556538899,38312,28580.0,0.57274412485798,62248,6145.0,0.9101516237041802,0.33740749884620025,0.4466154398134306,0.3458394864971561,0.0022125216767326437,0.01666837249426111,0.000747473539436704,0.005336803474039741,0.12316868982838007,0.5423069612387232,-0.10077595331627448,0.41913827141034316,0.014455850817528464,0.003124281797307097,0.5727441248579801,0.9101516237041802,1501.0,2.2439155653889853
